"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF","52","0,755","0,735","0,704","0,765"
2015,"Município","5200050",NA,"0,708",NA,NA
2015,"Município","5200100",NA,"0,689",NA,NA
2015,"Município","5200134",NA,"0,686",NA,NA
2015,"Município","5200159",NA,"0,702",NA,NA
2015,"Município","5200175",NA,"0,671",NA,NA
2015,"Município","5200209",NA,"0,722",NA,NA
2015,"Município","5200258",NA,"0,686",NA,NA
2015,"Município","5200308",NA,"0,682",NA,NA
2015,"Município","5200506",NA,"0,697",NA,NA
2015,"Município","5200555",NA,"0,719",NA,NA
2015,"Município","5200605",NA,"0,713",NA,NA
2015,"Município","5200803",NA,"0,66",NA,NA
2015,"Município","5200829",NA,"0,609",NA,NA
2015,"Município","5200852",NA,"0,7",NA,NA
2015,"Município","5200902",NA,"0,681",NA,NA
2015,"Município","5201108",NA,"0,737",NA,NA
2015,"Município","5201207",NA,"0,725",NA,NA
2015,"Município","5201306",NA,"0,714",NA,NA
2015,"Município","5201405",NA,"0,718",NA,NA
2015,"Município","5201454",NA,"0,693",NA,NA
2015,"Município","5201504",NA,"0,693",NA,NA
2015,"Município","5201603",NA,"0,693",NA,NA
2015,"Município","5201702",NA,"0,732",NA,NA
2015,"Município","5201801",NA,"0,684",NA,NA
2015,"Município","5202155",NA,"0,674",NA,NA
2015,"Município","5202353",NA,"0,687",NA,NA
2015,"Município","5202502",NA,"0,675",NA,NA
2015,"Município","5202601",NA,"0,7",NA,NA
2015,"Município","5202809",NA,"0,66",NA,NA
2015,"Município","5203104",NA,"0,655",NA,NA
2015,"Município","5203203",NA,"0,607",NA,NA
2015,"Município","5203302",NA,"0,716",NA,NA
2015,"Município","5203401",NA,"0,67",NA,NA
2015,"Município","5203500",NA,"0,701",NA,NA
2015,"Município","5203559",NA,"0,683",NA,NA
2015,"Município","5203575",NA,"0,63",NA,NA
2015,"Município","5203609",NA,"0,701",NA,NA
2015,"Município","5203807",NA,"0,672",NA,NA
2015,"Município","5203906",NA,"0,71",NA,NA
2015,"Município","5203939",NA,"0,687",NA,NA
2015,"Município","5203962",NA,"0,704",NA,NA
2015,"Município","5204003",NA,"0,668",NA,NA
2015,"Município","5204102",NA,"0,71",NA,NA
2015,"Município","5204201",NA,"0,727",NA,NA
2015,"Município","5204250",NA,"0,698",NA,NA
2015,"Município","5204300",NA,"0,73",NA,NA
2015,"Município","5204409",NA,"0,693",NA,NA
2015,"Município","5204508",NA,"0,733",NA,NA
2015,"Município","5204557",NA,"0,685",NA,NA
2015,"Município","5204607",NA,"0,653",NA,NA
2015,"Município","5204656",NA,"0,631",NA,NA
2015,"Município","5204706",NA,"0,688",NA,NA
2015,"Município","5204805",NA,"0,694",NA,NA
2015,"Município","5204854",NA,"0,661",NA,NA
2015,"Município","5204904",NA,"0,692",NA,NA
2015,"Município","5204953",NA,"0,654",NA,NA
2015,"Município","5205000",NA,"0,713",NA,NA
2015,"Município","5205059",NA,"0,701",NA,NA
2015,"Município","5205109",NA,"0,766",NA,NA
2015,"Município","5205208",NA,"0,664",NA,NA
2015,"Município","5205307",NA,"0,584",NA,NA
2015,"Município","5205406",NA,"0,775",NA,NA
2015,"Município","5205455",NA,"0,711",NA,NA
2015,"Município","5205471",NA,"0,742",NA,NA
2015,"Município","5205497",NA,"0,717",NA,NA
2015,"Município","5205513",NA,"0,657",NA,NA
2015,"Município","5205521",NA,"0,658",NA,NA
2015,"Município","5205703",NA,"0,686",NA,NA
2015,"Município","5205802",NA,"0,68",NA,NA
2015,"Município","5205901",NA,"0,698",NA,NA
2015,"Município","5206206",NA,"0,699",NA,NA
2015,"Município","5206305",NA,"0,688",NA,NA
2015,"Município","5206404",NA,"0,708",NA,NA
2015,"Município","5206503",NA,"0,706",NA,NA
2015,"Município","5206602",NA,"0,737",NA,NA
2015,"Município","5206701",NA,"0,654",NA,NA
2015,"Município","5206800",NA,"0,697",NA,NA
2015,"Município","5206909",NA,"0,716",NA,NA
2015,"Município","5207105",NA,"0,729",NA,NA
2015,"Município","5208301",NA,"0,653",NA,NA
2015,"Município","5207253",NA,"0,668",NA,NA
2015,"Município","5207352",NA,"0,702",NA,NA
2015,"Município","5207402",NA,"0,739",NA,NA
2015,"Município","5207501",NA,"0,707",NA,NA
2015,"Município","5207535",NA,"0,65",NA,NA
2015,"Município","5207600",NA,"0,685",NA,NA
2015,"Município","5207808",NA,"0,732",NA,NA
2015,"Município","5207907",NA,"0,597",NA,NA
2015,"Município","5208004",NA,"0,744",NA,NA
2015,"Município","5208103",NA,"0,715",NA,NA
2015,"Município","5208152",NA,"0,659",NA,NA
2015,"Município","5208400",NA,"0,703",NA,NA
2015,"Município","5208509",NA,"0,76",NA,NA
2015,"Município","5208608",NA,"0,727",NA,NA
2015,"Município","5208707",NA,"0,799",NA,NA
2015,"Município","5208806",NA,"0,694",NA,NA
2015,"Município","5208905",NA,"0,709",NA,NA
2015,"Município","5209101",NA,"0,725",NA,NA
2015,"Município","5209150",NA,"0,674",NA,NA
2015,"Município","5209200",NA,"0,697",NA,NA
2015,"Município","5209291",NA,"0,687",NA,NA
2015,"Município","5209408",NA,"0,637",NA,NA
2015,"Município","5209457",NA,"0,652",NA,NA
2015,"Município","5209606",NA,"0,694",NA,NA
2015,"Município","5209705",NA,"0,597",NA,NA
2015,"Município","5209804",NA,"0,677",NA,NA
2015,"Município","5209903",NA,"0,644",NA,NA
2015,"Município","5209937",NA,"0,692",NA,NA
2015,"Município","5209952",NA,"0,701",NA,NA
2015,"Município","5210000",NA,"0,72",NA,NA
2015,"Município","5210109",NA,"0,701",NA,NA
2015,"Município","5210158",NA,"0,696",NA,NA
2015,"Município","5210208",NA,"0,743",NA,NA
2015,"Município","5210307",NA,"0,711",NA,NA
2015,"Município","5210406",NA,"0,719",NA,NA
2015,"Município","5210562",NA,"0,693",NA,NA
2015,"Município","5210604",NA,"0,718",NA,NA
2015,"Município","5210802",NA,"0,691",NA,NA
2015,"Município","5210901",NA,"0,725",NA,NA
2015,"Município","5211008",NA,"0,677",NA,NA
2015,"Município","5211206",NA,"0,726",NA,NA
2015,"Município","5211305",NA,"0,693",NA,NA
2015,"Município","5211404",NA,"0,718",NA,NA
2015,"Município","5211503",NA,"0,752",NA,NA
2015,"Município","5211602",NA,"0,704",NA,NA
2015,"Município","5211701",NA,"0,707",NA,NA
2015,"Município","5211800",NA,"0,699",NA,NA
2015,"Município","5211909",NA,"0,757",NA,NA
2015,"Município","5212006",NA,"0,689",NA,NA
2015,"Município","5212055",NA,"0,649",NA,NA
2015,"Município","5212105",NA,"0,706",NA,NA
2015,"Município","5212204",NA,"0,571",NA,NA
2015,"Município","5212253",NA,"0,74",NA,NA
2015,"Município","5212303",NA,"0,659",NA,NA
2015,"Município","5212501",NA,"0,701",NA,NA
2015,"Município","5212600",NA,"0,745",NA,NA
2015,"Município","5212709",NA,"0,626",NA,NA
2015,"Município","5212808",NA,"0,691",NA,NA
2015,"Município","5212907",NA,"0,699",NA,NA
2015,"Município","5212956",NA,"0,679",NA,NA
2015,"Município","5213004",NA,"0,677",NA,NA
2015,"Município","5213053",NA,"0,665",NA,NA
2015,"Município","5213087",NA,"0,707",NA,NA
2015,"Município","5213103",NA,"0,718",NA,NA
2015,"Município","5213400",NA,"0,696",NA,NA
2015,"Município","5213509",NA,"0,615",NA,NA
2015,"Município","5213707",NA,"0,707",NA,NA
2015,"Município","5213756",NA,"0,733",NA,NA
2015,"Município","5213772",NA,"0,613",NA,NA
2015,"Município","5213806",NA,"0,588",NA,NA
2015,"Município","5213855",NA,"0,695",NA,NA
2015,"Município","5213905",NA,"0,706",NA,NA
2015,"Município","5214002",NA,"0,683",NA,NA
2015,"Município","5214051",NA,"0,59",NA,NA
2015,"Município","5214101",NA,"0,68",NA,NA
2015,"Município","5214408",NA,"0,71",NA,NA
2015,"Município","5214507",NA,"0,721",NA,NA
2015,"Município","5214606",NA,"0,715",NA,NA
2015,"Município","5214705",NA,"0,678",NA,NA
2015,"Município","5214804",NA,"0,747",NA,NA
2015,"Município","5214838",NA,"0,643",NA,NA
2015,"Município","5214861",NA,"0,681",NA,NA
2015,"Município","5214879",NA,"0,655",NA,NA
2015,"Município","5214903",NA,"0,634",NA,NA
2015,"Município","5215009",NA,"0,718",NA,NA
2015,"Município","5215207",NA,"0,699",NA,NA
2015,"Município","5215231",NA,"0,684",NA,NA
2015,"Município","5215256",NA,"0,658",NA,NA
2015,"Município","5215306",NA,"0,715",NA,NA
2015,"Município","5215405",NA,"0,719",NA,NA
2015,"Município","5215504",NA,"0,747",NA,NA
2015,"Município","5215603",NA,"0,651",NA,NA
2015,"Município","5215652",NA,"0,713",NA,NA
2015,"Município","5215702",NA,"0,698",NA,NA
2015,"Município","5215801",NA,"0,73",NA,NA
2015,"Município","5215900",NA,"0,722",NA,NA
2015,"Município","5216007",NA,"0,686",NA,NA
2015,"Município","5216304",NA,"0,711",NA,NA
2015,"Município","5216403",NA,"0,672",NA,NA
2015,"Município","5216452",NA,"0,676",NA,NA
2015,"Município","5216809",NA,"0,712",NA,NA
2015,"Município","5216908",NA,"0,684",NA,NA
2015,"Município","5217104",NA,"0,721",NA,NA
2015,"Município","5217203",NA,"0,589",NA,NA
2015,"Município","5217302",NA,"0,693",NA,NA
2015,"Município","5217401",NA,"0,744",NA,NA
2015,"Município","5217609",NA,"0,669",NA,NA
2015,"Município","5217708",NA,"0,687",NA,NA
2015,"Município","5218003",NA,"0,727",NA,NA
2015,"Município","5218052",NA,"0,684",NA,NA
2015,"Município","5218102",NA,"0,654",NA,NA
2015,"Município","5218300",NA,"0,659",NA,NA
2015,"Município","5218391",NA,"0,684",NA,NA
2015,"Município","5218508",NA,"0,74",NA,NA
2015,"Município","5218607",NA,"0,727",NA,NA
2015,"Município","5218706",NA,"0,693",NA,NA
2015,"Município","5218789",NA,"0,731",NA,NA
2015,"Município","5218805",NA,"0,754",NA,NA
2015,"Município","5218904",NA,"0,719",NA,NA
2015,"Município","5219001",NA,"0,736",NA,NA
2015,"Município","5219100",NA,"0,706",NA,NA
2015,"Município","5219209",NA,"0,688",NA,NA
2015,"Município","5219258",NA,"0,713",NA,NA
2015,"Município","5219308",NA,"0,724",NA,NA
2015,"Município","5219357",NA,"0,683",NA,NA
2015,"Município","5219407",NA,"0,714",NA,NA
2015,"Município","5219456",NA,"0,634",NA,NA
2015,"Município","5219506",NA,"0,701",NA,NA
2015,"Município","5219605",NA,"0,665",NA,NA
2015,"Município","5219704",NA,"0,701",NA,NA
2015,"Município","5219712",NA,"0,691",NA,NA
2015,"Município","5219738",NA,"0,723",NA,NA
2015,"Município","5219753",NA,"0,665",NA,NA
2015,"Município","5219803",NA,"0,64",NA,NA
2015,"Município","5219902",NA,"0,651",NA,NA
2015,"Município","5220009",NA,"0,685",NA,NA
2015,"Município","5220058",NA,"0,724",NA,NA
2015,"Município","5220108",NA,"0,731",NA,NA
2015,"Município","5220157",NA,"0,669",NA,NA
2015,"Município","5220207",NA,"0,664",NA,NA
2015,"Município","5220264",NA,"0,697",NA,NA
2015,"Município","5220280",NA,"0,693",NA,NA
2015,"Município","5220405",NA,"0,72",NA,NA
2015,"Município","5220454",NA,"0,701",NA,NA
2015,"Município","5220504",NA,"0,681",NA,NA
2015,"Município","5220603",NA,"0,709",NA,NA
2015,"Município","5220686",NA,"0,645",NA,NA
2015,"Município","5220702",NA,"0,617",NA,NA
2015,"Município","5221007",NA,"0,716",NA,NA
2015,"Município","5221080",NA,"0,661",NA,NA
2015,"Município","5221197",NA,"0,685",NA,NA
2015,"Município","5221304",NA,"0,745",NA,NA
2015,"Município","5221403",NA,"0,699",NA,NA
2015,"Município","5221452",NA,"0,653",NA,NA
2015,"Município","5221502",NA,"0,697",NA,NA
2015,"Município","5221551",NA,"0,691",NA,NA
2015,"Município","5221577",NA,"0,67",NA,NA
2015,"Município","5221601",NA,"0,737",NA,NA
2015,"Município","5221700",NA,"0,703",NA,NA
2015,"Município","5221809",NA,"0,732",NA,NA
2015,"Município","5221858",NA,"0,746",NA,NA
2015,"Município","5221908",NA,"0,687",NA,NA
2015,"Município","5222005",NA,"0,712",NA,NA
2015,"Município","5222054",NA,"0,684",NA,NA
2015,"Município","5222203",NA,"0,647",NA,NA
2015,"Município","5222302",NA,"0,634",NA,NA
