"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF","52","6610681",6003788,2981627,3022161,1441549,3452960,1109279,707190,1739927,575044
2015,"Município","5200050","7895",6876,3371,3505,1728,3888,1260,901,1942,662
2015,"Município","5200100","18069",15757,8089,7668,3745,8946,3066,1845,4371,1452
2015,"Município","5200134","21730",20279,10379,9900,5049,11518,3712,2446,5649,1805
2015,"Município","5200159","2557",2477,1273,1204,518,1350,609,243,678,283
2015,"Município","5200175","5507",5090,2731,2359,1361,2755,974,658,1270,431
2015,"Município","5200209","1993",2013,1048,965,404,1061,548,191,525,249
2015,"Município","5200258","187072",159378,79726,79652,50789,94229,14360,25113,47602,6937
2015,"Município","5200308","26135",23814,12010,11804,6404,12835,4575,3110,6408,2286
2015,"Município","5200506","2079",2051,1048,1003,383,1048,620,189,512,302
2015,"Município","5200555","5470",4505,2351,2154,1124,2667,714,564,1262,328
2015,"Município","5200605","7391",6885,3408,3477,1952,3758,1175,1005,1889,583
2015,"Município","5200803","8549",8084,4108,3976,2283,4360,1441,1106,2145,725
2015,"Município","5200829","3691",3434,1833,1601,826,1808,800,394,872,335
2015,"Município","5200852","5918",5508,2858,2650,1249,3001,1258,598,1444,608
2015,"Município","5200902","3487",3609,1830,1779,728,1827,1054,343,919,517
2015,"Município","5201108","366491",334613,163256,171357,78321,190544,65748,38225,97238,35894
2015,"Município","5201207","1104",1020,516,504,215,536,269,100,260,144
2015,"Município","5201306","21478",20239,10407,9832,4278,11643,4318,2050,5604,2178
2015,"Município","5201405","521910",455657,224798,230859,118036,274795,62826,58380,138837,33642
2015,"Município","5201454","2510",2427,1241,1186,544,1368,515,275,665,246
2015,"Município","5201504","4077",3803,2005,1798,907,2126,770,454,1021,323
2015,"Município","5201603","3776",3802,1909,1893,770,2004,1028,367,999,527
2015,"Município","5201702","19583",18305,9186,9119,4216,10495,3594,2072,5243,1804
2015,"Município","5201801","9444",8365,4265,4100,2014,4509,1842,969,2237,894
2015,"Município","5202155","7818",7510,3851,3659,1758,4139,1613,841,2061,757
2015,"Município","5202353","3066",3277,1676,1601,655,1704,918,329,848,424
2015,"Município","5202502","8746",7496,3921,3575,2073,4105,1318,970,2021,584
2015,"Município","5202601","3508",3650,1839,1811,617,1876,1157,286,940,585
2015,"Município","5202809","2499",2450,1234,1216,520,1292,638,268,645,303
2015,"Município","5203104","4443",3714,2043,1671,866,1980,868,397,924,350
2015,"Município","5203203","10031",8716,4509,4207,2200,4948,1568,1099,2372,736
2015,"Município","5203302","27628",24554,12612,11942,5462,13870,5222,2623,6759,2560
2015,"Município","5203401","8826",8423,4304,4119,1847,4451,2125,936,2188,995
2015,"Município","5203500","23257",20727,10757,9970,5112,11924,3691,2525,5697,1748
2015,"Município","5203559","8694",7536,3777,3759,1954,4112,1470,963,2054,742
2015,"Município","5203575","3994",3503,1834,1669,941,1873,689,473,900,296
2015,"Município","5203609","3526",3232,1646,1586,709,1762,761,342,854,390
2015,"Município","5203807","5772",5509,2809,2700,1300,2956,1253,638,1451,611
2015,"Município","5203906","9467",9054,4535,4519,1914,4689,2451,909,2336,1274
2015,"Município","5203939","2595",2560,1321,1239,517,1419,624,231,706,302
2015,"Município","5203962","3394",3321,1703,1618,887,1805,629,449,855,314
2015,"Município","5204003","7829",7354,3778,3576,2016,4026,1312,988,1961,627
2015,"Município","5204102","11683",10553,5749,4804,2319,5984,2250,1068,2696,1040
2015,"Município","5204201","1425",1417,731,686,322,744,351,150,366,170
2015,"Município","5204250","8384",8254,4173,4081,1836,4427,1991,896,2238,947
2015,"Município","5204300","14837",13283,7031,6252,2746,7426,3111,1316,3490,1446
2015,"Município","5204409","18148",16757,8545,8212,3550,9140,4067,1759,4520,1933
2015,"Município","5204508","81477",70473,35021,35452,17121,40559,12793,8355,20547,6550
2015,"Município","5204557","3624",3325,1689,1636,742,1796,787,378,873,385
2015,"Município","5204607","3581",3387,1772,1615,792,1880,715,369,912,334
2015,"Município","5204656","3743",3656,1938,1718,875,1937,844,423,919,376
2015,"Município","5204706","12071",11111,5701,5410,2760,6163,2188,1306,3034,1070
2015,"Município","5204805","6896",6060,3108,2952,1556,3369,1135,789,1638,525
2015,"Município","5204854","7090",6241,3185,3056,1745,3434,1062,851,1697,508
2015,"Município","5204904","19540",18410,9125,9285,5055,10321,3034,2511,5300,1474
2015,"Município","5204953","3870",5020,2571,2449,1177,2677,1166,596,1306,547
2015,"Município","5205000","9671",8928,4547,4381,1986,4862,2080,973,2359,1049
2015,"Município","5205059","3642",3638,1918,1720,802,2007,829,400,941,379
2015,"Município","5205109","98737",86647,43536,43111,18644,50942,17061,9140,25162,8809
2015,"Município","5205208","4977",4686,2398,2288,1075,2599,1012,547,1234,507
2015,"Município","5205307","9775",9392,4915,4477,3098,4577,1717,1530,2201,746
2015,"Município","5205406","21909",20722,10144,10578,4234,11623,4865,2039,5955,2584
2015,"Município","5205455","8210",7545,3871,3674,1731,4335,1479,811,2165,698
2015,"Município","5205471","8589",7001,3664,3337,1919,4429,653,964,2095,278
2015,"Município","5205497","64229",55915,27430,28485,16303,32584,7028,7933,16790,3762
2015,"Município","5205513","19115",17407,8952,8455,4772,9582,3053,2292,4679,1484
2015,"Município","5205521","3551",3523,1838,1685,1005,1773,745,496,872,317
2015,"Município","5205703","2564",2632,1338,1294,570,1356,706,273,672,349
2015,"Município","5205802","10961",10361,5415,4946,2587,5443,2331,1258,2559,1129
2015,"Município","5205901","9077",8181,4284,3897,1783,4496,1902,845,2171,881
2015,"Município","5206206","53300",46580,23977,22603,13368,26328,6884,6442,12816,3345
2015,"Município","5206305","3023",2932,1503,1429,622,1536,774,297,738,394
2015,"Município","5206404","16695",15760,8254,7506,3683,8936,3141,1743,4322,1441
2015,"Município","5206503","3616",3555,1794,1761,721,1836,998,368,909,484
2015,"Município","5206602","2992",2964,1515,1449,597,1511,856,308,720,421
2015,"Município","5206701","3385",3292,1709,1583,782,1748,762,370,847,366
2015,"Município","5206800","2903",2747,1383,1364,554,1517,676,263,752,349
2015,"Município","5206909","2126",2056,1082,974,426,1040,590,215,492,267
2015,"Município","5207105","2545",2479,1262,1217,492,1325,662,255,656,306
2015,"Município","5207253","7842",7892,4162,3730,1822,4312,1758,861,2101,768
2015,"Município","5207352","3814",3733,1930,1803,818,1912,1003,401,930,472
2015,"Município","5207402","12047",11266,5779,5487,2559,6365,2342,1252,3104,1131
2015,"Município","5207501","3386",3320,1720,1600,730,1819,771,356,869,375
2015,"Município","5207535","7004",6983,3652,3331,1590,3634,1759,771,1762,798
2015,"Município","5207600","6181",6322,3248,3074,1265,3304,1753,606,1623,845
2015,"Município","5207808","12640",11580,5701,5879,2178,6192,3210,1065,3152,1662
2015,"Município","5207907","14372",12066,6657,5409,3392,6600,2074,1577,2996,836
2015,"Município","5208004","112236",100085,49959,50126,26829,57706,15550,13184,29048,7894
2015,"Município","5208103","4726",4883,2474,2409,1091,2593,1199,534,1294,581
2015,"Município","5208152","3664",3275,1724,1551,856,1696,723,433,802,316
2015,"Município","5208301","5020",4962,2595,2367,1338,2598,1026,647,1218,502
2015,"Município","5208400","11024",10695,5453,5242,2699,5969,2027,1340,2891,1011
2015,"Município","5208509","5549",5265,2633,2632,1085,2715,1465,542,1326,764
2015,"Município","5208608","65767",59549,30075,29474,14060,34246,11243,6927,16772,5775
2015,"Município","5208707","1430697",1302001,620857,681144,270641,778072,253288,133500,404989,142655
2015,"Município","5208806","39484",34060,17120,16940,9046,19934,5080,4375,9999,2566
2015,"Município","5208905","24439",24727,12256,12471,5292,13303,6132,2543,6768,3160
2015,"Município","5209101","34043",32492,16219,16273,7203,17719,7570,3475,8852,3946
2015,"Município","5209150","5499",4949,2569,2380,1164,2707,1078,608,1306,466
2015,"Município","5209200","14441",13976,6970,7006,3394,7562,3020,1685,3791,1530
2015,"Município","5209291","2268",2376,1187,1189,464,1296,616,244,641,304
2015,"Município","5209408","4204",4258,2291,1967,1100,2191,967,532,1002,433
2015,"Município","5209457","2134",2299,1225,1074,470,1189,640,222,562,290
2015,"Município","5209606","3731",3571,1830,1741,789,1903,879,379,931,431
2015,"Município","5209705","19761",17398,8942,8456,4311,9600,3487,2100,4699,1657
2015,"Município","5209804","3927",4029,2043,1986,846,2102,1081,432,1026,528
2015,"Município","5209903","13423",12427,6379,6048,3818,6561,2048,1836,3231,981
2015,"Município","5209937","6066",5699,2917,2782,1402,3156,1141,699,1547,536
2015,"Município","5209952","14895",13687,7086,6601,3398,7795,2494,1637,3798,1166
2015,"Município","5210000","51543",48246,23666,24580,10104,27337,10805,5018,13811,5751
2015,"Município","5210109","26373",24735,12444,12291,5378,13532,5825,2625,6648,3018
2015,"Município","5210158","2940",2844,1451,1393,596,1468,780,295,718,380
2015,"Município","5210208","32194",31274,15302,15972,6112,17034,8128,3035,8791,4146
2015,"Município","5210307","2923",2887,1463,1424,554,1562,771,272,777,375
2015,"Município","5210406","39629",35371,17849,17522,8112,20387,6872,3963,10096,3463
2015,"Município","5210562","4703",4513,2276,2237,985,2438,1090,484,1210,543
2015,"Município","5210604","5488",5437,2742,2695,1059,2914,1464,533,1407,755
2015,"Município","5210802","4961",5062,2508,2554,1116,2787,1159,601,1391,562
2015,"Município","5210901","20945",18458,9379,9079,4523,10371,3564,2199,5088,1792
2015,"Município","5211008","6776",7835,3963,3872,1752,4102,1981,848,2058,966
2015,"Município","5211206","26639",26125,12922,13203,5362,14318,6445,2630,7253,3320
2015,"Município","5211305","6853",6300,3318,2982,1510,3527,1263,740,1691,551
2015,"Município","5211404","8957",8575,4235,4340,1668,4594,2313,846,2312,1182
2015,"Município","5211503","100548",92883,45796,47087,19606,52078,21199,9572,26411,11104
2015,"Município","5211602","2601",2663,1405,1258,512,1364,787,241,677,340
2015,"Município","5211701","6272",6164,3175,2989,1250,3241,1673,599,1596,794
2015,"Município","5211800","46790",41870,21241,20629,10593,23728,7549,5057,11803,3769
2015,"Município","5211909","95998",88006,43961,44045,20935,49693,17378,10352,24684,9009
2015,"Município","5212006","3024",3000,1517,1483,650,1554,796,321,777,385
2015,"Município","5212055","2444",2300,1206,1094,545,1187,568,242,573,279
2015,"Município","5212105","7422",7118,3608,3510,1581,3991,1546,800,1918,792
2015,"Município","5212204","19346",19153,9587,9566,4256,10525,4372,2066,5310,2190
2015,"Município","5212253","1435",1254,643,611,283,709,262,132,350,129
2015,"Município","5212303","8167",7882,4013,3869,1913,4373,1596,973,2108,788
2015,"Município","5212501","194039",174531,87087,87444,51157,100081,23293,25046,50509,11889
2015,"Município","5212600","2432",2374,1238,1136,455,1258,661,213,621,302
2015,"Município","5212709","7945",6871,3529,3342,2094,3751,1026,1033,1791,518
2015,"Município","5212808","10414",10649,5426,5223,2464,5700,2485,1220,2801,1202
2015,"Município","5212907","2198",2072,1026,1046,493,1053,526,269,522,255
2015,"Município","5212956","4500",4414,2254,2160,1039,2470,905,495,1233,432
2015,"Município","5213004","12956",11521,6022,5499,3119,6631,1771,1526,3145,828
2015,"Município","5213053","2715",2685,1427,1258,702,1379,604,338,652,268
2015,"Município","5213087","31031",31154,15837,15317,7517,17217,6420,3693,8608,3016
2015,"Município","5213103","60464",52935,27140,25795,12352,31039,9544,6030,15073,4692
2015,"Município","5213400","1704",1763,899,864,358,890,515,167,430,267
2015,"Município","5213509","8319",7730,3994,3736,2289,3965,1476,1125,1939,672
2015,"Município","5213707","8224",7987,4094,3893,1726,4385,1876,828,2194,871
2015,"Município","5213756","12101",10572,5499,5073,2541,6386,1645,1295,3039,739
2015,"Município","5213772","4387",4122,2109,2013,1165,2084,873,605,1030,378
2015,"Município","5213806","44607",41460,20773,20687,8836,22761,9863,4345,11300,5042
2015,"Município","5213855","2369",2356,1173,1183,499,1232,625,259,613,311
2015,"Município","5213905","4817",5007,2557,2450,952,2699,1356,462,1340,648
2015,"Município","5214002","14752",13404,6843,6561,3292,7819,2293,1606,3852,1103
2015,"Município","5214051","5914",6438,3428,3010,1594,3368,1476,721,1650,639
2015,"Município","5214101","3917",3849,2003,1846,920,2014,915,436,978,432
2015,"Município","5214408","8641",7874,3963,3911,1719,4382,1773,834,2188,889
2015,"Município","5214507","27341",24210,11923,12287,5858,14119,4233,2877,7207,2203
2015,"Município","5214606","45243",42361,21689,20672,10641,23667,8053,5149,11755,3768
2015,"Município","5214705","2358",2259,1158,1101,473,1191,595,229,581,291
2015,"Município","5214804","2181",2062,1074,988,419,1064,579,186,504,298
2015,"Município","5214838","12653",11927,6223,5704,2960,6764,2203,1460,3274,970
2015,"Município","5214861","8575",8508,4246,4262,1797,4351,2360,872,2194,1196
2015,"Município","5214879","2944",2826,1455,1371,674,1523,629,342,742,287
2015,"Município","5214903","3470",3471,1794,1677,921,1702,848,471,805,401
2015,"Município","5215009","9105",8129,4128,4001,1856,4557,1716,877,2227,897
2015,"Município","5215207","3341",3519,1819,1700,656,1817,1046,293,899,508
2015,"Município","5215231","106677",95018,46672,48346,28869,55643,10506,14327,28581,5438
2015,"Município","5215256","4298",3956,2072,1884,964,2155,837,451,1055,378
2015,"Município","5215306","15254",14300,7389,6911,2995,7688,3617,1439,3725,1747
2015,"Município","5215405","4016",4034,2008,2026,878,2203,953,454,1088,484
2015,"Município","5215504","6142",5467,2811,2656,1130,3038,1299,565,1453,638
2015,"Município","5215603","31129",27671,13992,13679,8344,14466,4861,4135,7228,2316
2015,"Município","5215652","3499",3371,1776,1595,673,1902,796,323,933,339
2015,"Município","5215702","26393",23338,11819,11519,4974,13374,4990,2456,6593,2470
2015,"Município","5215801","2416",2335,1149,1186,525,1148,662,261,575,350
2015,"Município","5215900","3661",3557,1779,1778,666,1925,966,341,963,474
2015,"Município","5216007","2722",2682,1370,1312,557,1346,779,289,652,371
2015,"Município","5216304","9760",9100,4588,4512,1960,4947,2193,1003,2426,1083
2015,"Município","5216403","11199",10863,5521,5342,2515,5993,2355,1210,2972,1160
2015,"Município","5216452","3105",2950,1570,1380,791,1579,580,344,798,238
2015,"Município","5216809","10547",10283,5368,4915,2034,5831,2418,991,2721,1203
2015,"Município","5216908","2614",2773,1467,1306,552,1480,741,278,696,332
2015,"Município","5217104","24772",24026,12194,11832,4941,12602,6483,2408,6233,3191
2015,"Município","5217203","11164",11266,5718,5548,2295,5999,2972,1091,3011,1446
2015,"Município","5217302","24444",23006,11797,11209,5602,12463,4941,2721,6029,2459
2015,"Município","5217401","30703",28762,14105,14657,6152,15764,6846,3069,7979,3609
2015,"Município","5217609","87474",81649,40574,41075,24583,46724,10342,12025,23759,5291
2015,"Município","5217708","17873",17121,8578,8543,3615,9016,4490,1749,4558,2236
2015,"Município","5218003","44798",42355,21285,21070,10491,23559,8305,5063,11823,4184
2015,"Município","5218052","3670",3347,1808,1539,872,1919,556,396,897,246
2015,"Município","5218102","4015",3839,1986,1853,921,2077,841,476,991,386
2015,"Município","5218300","34663",31419,15925,15494,8956,17854,4609,4410,8785,2299
2015,"Município","5218391","3380",3239,1676,1563,735,1655,849,360,822,381
2015,"Município","5218508","47377",43220,21934,21286,9401,24432,9387,4533,12105,4648
2015,"Município","5218607","10969",10523,5239,5284,2248,5952,2323,1063,3012,1209
2015,"Município","5218706","4788",4566,2319,2247,1144,2425,997,535,1207,505
2015,"Município","5218789","3931",3312,1733,1579,838,1884,590,393,918,268
2015,"Município","5218805","207296",176424,90030,86394,41222,106915,28287,20129,52011,14254
2015,"Município","5218904","19832",18915,9429,9486,4253,10353,4309,2058,5158,2270
2015,"Município","5219001","7783",7550,3843,3707,1586,4104,1860,746,2045,916
2015,"Município","5219100","6259",5751,2932,2819,1392,3256,1103,665,1602,552
2015,"Município","5219209","3095",3142,1645,1497,673,1598,871,322,765,410
2015,"Município","5219258","5194",4762,2405,2357,1208,2672,882,587,1335,435
2015,"Município","5219308","38378",36469,18317,18152,8262,20420,7787,4009,10238,3905
2015,"Município","5219357","3836",3686,1906,1780,720,1968,998,353,950,477
2015,"Município","5219407","7916",6924,3545,3379,1743,3827,1354,846,1875,658
2015,"Município","5219456","3331",3173,1727,1446,698,1713,762,316,794,336
2015,"Município","5219506","2722",2909,1452,1457,568,1527,814,292,747,418
2015,"Município","5219605","3814",3995,1994,2001,979,1997,1019,504,988,509
2015,"Município","5219704","9876",10302,5261,5041,2300,5589,2413,1141,2734,1166
2015,"Município","5219712","4714",4423,2346,2077,1097,2387,939,532,1106,439
2015,"Município","5219738","5527",4703,2389,2314,1169,2764,770,547,1378,389
2015,"Município","5219753","69988",63248,31371,31877,19433,35987,7828,9594,18256,4027
