"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"UF","52",100672,0,63802,774,17007,26443,26248,19276,8906,1887,102,16,99869,21,26,31,26.0237832682622,6.39352010359432,186,2995,22417,49839,6257,14981,24168,2889,632,57997,64,40578,58360,41226,59446,98424,2010,35,365,851,8812,83284,2873,10063,83284,2873,38,39,40,38.4821970484307,2.10195572085627,415,16817,8019,9464,57007,37013,63659,34304,66101,84153,3425,117,18169,11561,16012,6978,21700,1287,1815,1989,117,6954,100271,140,159,100,0,51515,49103,24990,2926,637,58614,64,8333,88193,4144,2885,3190,3480,3156.40458925201,534.591264718106,7007,77640,8482,988,98898,9.48394169353062,0.857533143569623,619,90652
2015,"MUNICIPIO","520000",5,0,1,0,1,2,1,1,0,0,0,0,5,22,22,28,24,6.81909084849293,0,0,3,2,0,0,1,0,0,2,0,2,3,1,4,5,0,0,0,1,0,4,0,1,4,0,38,39,39,37,5.1478150704935,0,0,2,0,2,5,0,2,3,4,0,0,0,0,2,0,1,0,0,0,0,1,5,0,0,0,0,2,3,1,0,0,2,0,2,2,1,2430,3550,3575,2947,1146.33982745083,1,3,1,0,5,9.4,0.894427190999916,0,5
2015,"MUNICIPIO","520005",162,0,84,0,29,48,47,28,10,0,0,0,162,21,25,29,25.1728395061728,5.5589223752524,1,7,42,75,13,13,26,2,1,93,0,72,83,67,95,162,0,0,0,0,14,134,4,14,134,4,38,39,39,38.5065789473684,1.57798056261086,1,22,10,14,90,161,1,52,109,125,5,0,29,10,33,0,39,3,2,0,0,13,161,1,0,0,0,79,83,29,2,1,97,0,7,150,5,2900,3200,3450,3175.24074074074,452.873034262563,16,119,16,2,159,9.36024844720497,0.855517351015278,0,148
2015,"MUNICIPIO","520010",183,0,166,5,46,39,34,41,14,4,0,0,178,19,25,30.5,25.448087431694,7.1403730743334,0,8,53,93,9,18,28,2,0,146,0,68,114,75,108,180,2,0,1,1,10,165,5,12,165,5,38,39,40,38.7032967032967,1.88623689503412,0,33,26,17,105,181,2,82,100,169,10,0,30,31,43,19,34,4,4,2,0,12,180,1,2,0,0,90,93,28,2,0,146,0,12,167,4,2900,3170,3440,3145.32786885246,444.419490031838,14,158,7,0,181,9.52486187845304,0.67139209254173,0,183
2015,"MUNICIPIO","520013",266,0,222,4,69,76,73,25,17,2,0,0,262,19,23,27,23.8872180451128,5.90062885722933,0,10,73,144,16,20,98,5,1,145,0,128,132,109,157,260,6,0,2,2,17,229,4,21,229,4,38,38,39,37.9448818897638,1.88527510962174,1,43,23,43,150,126,140,68,198,223,25,0,59,24,37,11,71,8,17,6,0,15,264,1,1,0,0,136,130,98,5,1,145,0,25,233,8,2892.5,3197.5,3423.75,3133.88345864662,509.099898960486,8,219,22,2,264,8.49248120300752,1.22933478315685,1,259
2015,"MUNICIPIO","520015",20,0,11,0,6,5,4,3,1,1,0,0,20,18,22.5,29.25,24.35,7.05821656317172,0,0,7,9,0,2,3,1,0,10,0,6,13,11,9,20,0,0,0,0,0,16,2,0,16,2,38.25,39,40.5,39.3888888888889,1.78684371379154,0,4,0,0,13,20,0,4,16,14,0,0,6,1,1,1,5,0,0,0,0,0,20,0,0,0,0,13,7,4,1,0,11,0,0,18,2,3066.25,3305,3508.75,3382.75,542.980262799187,1,13,3,0,20,9.1,0.640723275517187,0,18
2015,"MUNICIPIO","520017",52,0,42,1,11,17,12,6,4,1,0,0,51,20,24,27.25,24.4423076923077,6.29164856209875,0,4,9,28,3,7,4,4,1,39,0,30,20,26,26,50,2,0,0,1,6,44,1,7,44,1,38,39,40,38.7692307692308,2.12007569801392,1,12,6,8,21,52,0,28,24,47,3,0,13,7,5,3,11,1,1,2,0,7,52,0,0,0,0,35,17,4,4,1,39,0,2,47,3,2870,3180,3492.5,3192.88461538462,494.108770030869,2,43,4,0,52,9.75,0.589948485620799,0,52
2015,"MUNICIPIO","520020",20,0,18,0,3,8,4,5,0,0,0,0,20,22,24,29.25,25.2,5.03252578627012,0,0,3,13,2,1,10,1,0,9,0,8,12,7,13,20,0,0,0,0,0,19,1,0,19,1,38,38,38.25,38.2,1.10501250290617,0,2,1,3,13,20,0,1,19,19,0,0,2,5,0,0,12,0,0,0,0,0,20,0,0,0,0,8,12,10,1,0,9,0,1,19,0,2711.25,3012.5,3235,2988.5,368.421597743958,2,18,0,0,20,9.8,0.410391340834062,1,19
2015,"MUNICIPIO","520025",2979,0,1717,33,605,816,676,499,260,78,11,1,2945,20,25,30,25.604900973481,6.80077150755566,24,177,1064,1427,105,127,254,174,25,2100,5,1704,1195,1036,1943,2923,53,1,14,37,304,2452,118,356,2452,118,38,39,40,38.6213260423787,2.37237875177324,118,730,295,271,1053,2882,97,2001,974,2760,125,5,496,351,738,344,466,32,75,51,5,291,2939,2,25,13,0,1573,1406,254,174,25,2100,5,270,2571,136,2865,3180,3490,3152.48001343635,559.819686750703,259,2332,263,37,2717,9.03449527959332,0.903181394957351,14,2666
2015,"MUNICIPIO","520030",415,0,295,3,74,112,95,78,40,13,0,0,412,21,26,31,26.0963855421687,6.8479244322453,0,16,127,186,18,55,89,12,3,286,0,143,265,145,270,404,11,0,0,2,36,357,11,38,357,11,38,39,40,38.6527093596059,1.83385987031768,3,78,44,52,210,270,145,189,226,372,15,0,77,38,86,42,92,3,7,11,0,32,412,0,0,3,0,208,207,95,12,3,286,0,38,359,18,2897.5,3170,3425,3142.58313253012,501.759563072884,40,321,27,5,407,9.52912621359223,0.939340874462122,2,376
