"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"UF","52",5592029,3052096
2015,"Município","520005",5834,2745
2015,"Município","520010",NA,NA
2015,"Município","520013",17414,4786
2015,"Município","520015",2278,NA
2015,"Município","520017",1981,NA
2015,"Município","520020",1412,NA
2015,"Município","520025",186790,NA
2015,"Município","520030",21594,NA
2015,"Município","520050",1793,NA
2015,"Município","520055",4690,NA
2015,"Município","520060",5286,NA
2015,"Município","520080",7268,170
2015,"Município","520082",1183,NA
2015,"Município","520085",5069,NA
2015,"Município","520090",2098,NA
2015,"Município","520110",360075,216275
2015,"Município","520120",1034,NA
2015,"Município","520130",18371,7747
2015,"Município","520140",380888,138395
2015,"Município","520145",2017,2017
2015,"Município","520150",2724,NA
2015,"Município","520160",3334,NA
2015,"Município","520170",18847,NA
2015,"Município","520180",6241,NA
2015,"Município","520215",5412,3784
2015,"Município","520235",1795,NA
2015,"Município","520250",7208,3143
2015,"Município","520260",2691,NA
2015,"Município","520280",1883,NA
2015,"Município","520310",1309,NA
2015,"Município","520320",7194,NA
2015,"Município","520330",20076,12058
2015,"Município","520340",6653,NA
2015,"Município","520350",19910,21603
2015,"Município","520355",8100,NA
2015,"Município","520357",1483,NA
2015,"Município","520360",2209,NA
2015,"Município","520380",4760,4474
2015,"Município","520390",8741,1433
2015,"Município","520393",1666,NA
2015,"Município","520396",1926,NA
2015,"Município","520400",5705,NA
2015,"Município","520410",9280,8355
2015,"Município","520420",NA,NA
2015,"Município","520425",5441,4189
2015,"Município","520430",11991,11662
2015,"Município","520440",12941,12495
2015,"Município","520450",NA,NA
2015,"Município","520455",2090,NA
2015,"Município","520460",2512,NA
2015,"Município","520465",2225,NA
2015,"Município","520470",9772,NA
2015,"Município","520480",5099,NA
2015,"Município","520485",6008,NA
2015,"Município","520490",17201,16826
2015,"Município","520495",3451,NA
2015,"Município","520500",7641,NA
2015,"Município","520505",3348,NA
2015,"Município","520510",98638,68571
2015,"Município","520520",3892,NA
2015,"Município","520530",4935,NA
2015,"Município","520540",20924,18248
2015,"Município","520545",6088,NA
2015,"Município","520547",6984,6984
2015,"Município","520549",50145,31753
2015,"Município","520551",7076,NA
2015,"Município","520552",NA,NA
2015,"Município","520570",1591,NA
2015,"Município","520580",6416,NA
2015,"Município","520590",6998,6649
2015,"Município","520620",37635,12008
2015,"Município","520630",2549,NA
2015,"Município","520640",11757,NA
2015,"Município","520650",2721,NA
2015,"Município","520660",2442,2550
2015,"Município","520670",1905,NA
2015,"Município","520680",2306,NA
2015,"Município","520690",1448,NA
2015,"Município","520710",1546,NA
2015,"Município","520830",3532,NA
2015,"Município","520725",4885,NA
2015,"Município","520735",2625,NA
2015,"Município","520740",10199,10199
2015,"Município","520750",2989,NA
2015,"Município","520753",NA,NA
2015,"Município","520760",3987,NA
2015,"Município","520780",9526,NA
2015,"Município","520790",3633,NA
2015,"Município","520800",103195,62043
2015,"Município","520810",3491,NA
2015,"Município","520815",1224,NA
2015,"Município","520840",9989,NA
2015,"Município","520850",4783,NA
2015,"Município","520860",54574,53862
2015,"Município","520870",1425285,1265310
2015,"Município","520880",38778,15153
2015,"Município","520890",18421,10839
2015,"Município","520910",31370,13594
2015,"Município","520915",3801,NA
2015,"Município","520920",11710,8025
2015,"Município","520929",1376,NA
2015,"Município","520940",1741,NA
2015,"Município","520945",NA,NA
2015,"Município","520960",2764,NA
2015,"Município","520970",10075,NA
2015,"Município","520980",2905,NA
2015,"Município","520990",10045,NA
2015,"Município","520993",5056,NA
2015,"Município","520995",12683,NA
2015,"Município","521000",48185,37055
2015,"Município","521010",22749,NA
2015,"Município","521015",1313,NA
2015,"Município","521020",29385,9691
2015,"Município","521030",2277,NA
2015,"Município","521040",33369,22187
2015,"Município","521056",4135,NA
2015,"Município","521060",4563,NA
2015,"Município","521080",3665,3641
2015,"Município","521090",15571,NA
2015,"Município","521100",4788,NA
2015,"Município","521120",21653,20796
2015,"Município","521130",4436,NA
2015,"Município","521140",6675,5815
2015,"Município","521150",95335,96282
2015,"Município","521160",1499,NA
2015,"Município","521170",4227,NA
2015,"Município","521180",37806,11667
2015,"Município","521190",88163,73742
2015,"Município","521200",2377,NA
2015,"Município","521205",1949,NA
2015,"Município","521210",6748,6748
2015,"Município","521220",15360,14025
2015,"Município","521225",888,888
2015,"Município","521230",5018,NA
2015,"Município","521250",152968,32304
2015,"Município","521260",1608,NA
2015,"Município","521270",5553,NA
2015,"Município","521280",7785,5584
2015,"Município","521290",1914,NA
2015,"Município","521295",NA,NA
2015,"Município","521300",12283,NA
2015,"Município","521305",1256,1256
2015,"Município","521308",26449,15851
2015,"Município","521310",NA,NA
2015,"Município","521340",1095,NA
2015,"Município","521350",3405,NA
2015,"Município","521370",5483,NA
2015,"Município","521375",9825,5579
2015,"Município","521377",1248,NA
2015,"Município","521380",38467,30313
2015,"Município","521385",1658,NA
2015,"Município","521390",4810,NA
2015,"Município","521400",10901,NA
2015,"Município","521405",3460,NA
2015,"Município","521410",2585,NA
2015,"Município","521440",6576,NA
2015,"Município","521450",25481,NA
2015,"Município","521460",35611,11214
2015,"Município","521470",1719,NA
2015,"Município","521480",1981,NA
2015,"Município","521483",8198,NA
2015,"Município","521486",4953,NA
2015,"Município","521487",2109,NA
2015,"Município","521490",NA,NA
2015,"Município","521500",7662,NA
2015,"Município","521520",2159,NA
2015,"Município","521523",103664,23752
2015,"Município","521525",2811,NA
2015,"Município","521530",8507,NA
2015,"Município","521540",2671,NA
2015,"Município","521550",5404,NA
2015,"Município","521560",12134,12134
2015,"Município","521565",2263,NA
2015,"Município","521570",21265,20636
2015,"Município","521580",2293,NA
2015,"Município","521590",2778,NA
2015,"Município","521600",2070,NA
2015,"Município","521630",NA,NA
2015,"Município","521640",8234,8234
2015,"Município","521645",1957,NA
2015,"Município","521680",6855,NA
2015,"Município","521690",1132,NA
2015,"Município","521710",18018,17034
2015,"Município","521720",8989,NA
2015,"Município","521730",16536,NA
2015,"Município","521740",28922,10928
2015,"Município","521760",83117,31872
2015,"Município","521770",14507,14507
2015,"Município","521800",37792,NA
2015,"Município","521805",3212,NA
